SalesOrderID,OrderDate,ShipDate,DateKey,CustomerKey,ProductKey,TerritoryKey,OrderQuantity,UnitPrice,DiscountPercent,SalesAmount,TotalProductCost,TaxAmount,FreightAmount,OrderStatus
10026,2024-01-12,2024-01-16,20240112,645,117,7,2,43.98,0.05,83.56,40.68,6.68,11.26,Delivered
10027,2023-12-22,2023-12-31,20231222,157,130,7,6,13.75,0.1,74.25,28.5,5.94,4.22,Delivered
10028,2022-09-14,2022-09-23,20220914,1591,63,5,7,143.66,0.15,854.78,634.48,68.38,2.93,Delivered
10029,2023-12-01,2023-12-07,20231201,167,31,4,7,116.69,0.0,816.83,280.07,65.35,9.06,Delivered
10030,2024-07-18,2024-07-19,20240718,248,43,8,7,135.8,0.1,855.54,385.98,68.44,10.96,Delivered
10031,2022-09-16,2022-09-17,20220916,50,111,7,3,61.54,0.0,184.62,89.13,14.77,8.21,Returned
10032,2023-12-27,2023-12-30,20231227,1428,103,6,4,120.93,0.0,483.72,146.96,38.7,5.72,Delivered
10033,2022-08-09,2022-08-10,20220809,1513,19,7,6,3398.38,0.05,19370.77,11886.9,1549.66,29.49,Delivered
10034,2024-09-04,2024-09-07,20240904,1483,47,6,2,14.13,0.0,28.26,18.82,2.26,9.31,Delivered
10035,2024-07-17,2024-07-24,20240717,899,83,2,3,76.53,0.1,206.63,123.69,16.53,4.91,Delivered
10036,2024-10-07,2024-10-13,20241007,1156,13,3,7,2294.18,0.05,15256.3,8430.66,1220.5,16.38,Returned
10037,2022-03-27,2022-03-31,20220327,1064,111,6,5,57.7,0.1,259.65,148.55,20.77,5.4,Delivered
10038,2022-08-31,2022-09-05,20220831,997,71,5,8,101.17,0.0,809.36,565.6,64.75,5.04,Cancelled
10039,2022-08-06,2022-08-10,20220806,289,72,3,2,89.3,0.2,142.88,104.28,11.43,8.12,Shipped
10040,2022-03-23,2022-04-01,20220323,1637,138,6,4,27.1,0.2,86.72,79.84,6.94,12.51,Delivered
10041,2024-05-23,2024-05-31,20240523,259,134,2,8,6.28,0.0,50.24,30.24,4.02,11.03,Delivered
10042,2024-06-04,2024-06-12,20240604,178,68,6,3,198.48,0.15,506.12,229.32,40.49,10.36,Delivered
10043,2023-04-01,2023-04-03,20230401,321,84,2,6,26.73,0.15,136.32,77.04,10.91,11.3,Delivered
10044,2023-10-07,2023-10-08,20231007,206,111,1,6,54.15,0.1,292.41,178.26,23.39,10.26,Returned
10045,2022-01-17,2022-01-21,20220117,1201,36,5,7,77.62,0.0,543.34,226.24,43.47,10.43,Delivered
10046,2024-09-19,2024-09-22,20240919,579,128,4,3,33.34,0.0,100.02,53.73,8.0,14.31,Shipped
10047,2022-05-18,2022-05-26,20220518,1252,143,5,4,62.1,0.0,248.4,122.88,19.87,6.85,Delivered
10048,2023-04-26,2023-05-02,20230426,1087,124,5,3,34.99,0.2,83.98,56.61,6.72,4.25,Delivered
10049,2024-09-30,2024-10-07,20240930,732,154,5,8,35.63,0.0,285.04,167.28,22.8,2.57,Delivered
10050,2024-07-04,2024-07-10,20240704,1357,64,2,7,162.93,0.05,1083.48,576.94,86.68,14.39,Delivered
10051,2024-03-26,2024-03-29,20240326,1721,124,5,8,33.51,0.15,227.87,150.96,18.23,4.29,Delivered
10052,2023-03-17,2023-03-24,20230317,1152,16,8,6,2613.13,0.0,15678.78,8404.08,1254.3,20.27,Delivered
10053,2023-06-18,2023-06-19,20230618,995,69,8,4,97.57,0.2,312.22,220.04,24.98,1.64,Delivered
10054,2022-12-08,2022-12-17,20221208,1597,53,3,2,88.13,0.1,158.63,76.58,12.69,9.55,Delivered
10055,2022-02-10,2022-02-11,20220210,185,98,2,6,90.04,0.2,432.19,228.72,34.58,11.72,Delivered
10056,2024-11-28,2024-12-02,20241128,1097,93,4,4,112.45,0.2,359.84,152.72,28.79,8.5,Delivered
10057,2022-11-27,2022-12-03,20221127,847,85,1,4,57.16,0.0,228.64,115.72,18.29,14.16,Delivered
10058,2024-12-14,2024-12-16,20241214,815,129,4,8,31.27,0.0,250.16,125.44,20.01,5.22,Delivered
10059,2023-05-22,2023-05-23,20230522,1536,70,3,2,107.81,0.05,204.84,85.72,16.39,10.17,Delivered
10060,2023-07-07,2023-07-09,20230707,152,20,3,7,1137.88,0.15,6770.39,4912.88,541.63,37.87,Shipped
10061,2024-03-12,2024-03-16,20240312,1760,156,1,5,9.84,0.05,46.74,32.2,3.74,8.17,Delivered
10062,2024-07-28,2024-08-01,20240728,542,26,7,8,211.47,0.05,1607.17,710.96,128.57,2.3,Delivered
10063,2024-09-16,2024-09-21,20240916,1038,137,6,4,30.92,0.05,117.5,67.44,9.4,11.19,Delivered
10064,2022-08-10,2022-08-18,20220810,1184,58,8,1,235.64,0.0,235.64,115.05,18.85,7.26,Delivered
10065,2023-09-29,2023-10-05,20230929,1659,37,8,2,158.56,0.0,317.12,222.28,25.37,3.91,Delivered
10066,2022-06-21,2022-06-24,20220621,1263,104,4,8,84.81,0.2,542.78,306.08,43.42,8.93,Shipped
10067,2024-10-07,2024-10-12,20241007,638,106,7,6,42.64,0.0,255.84,109.98,20.47,5.5,Delivered
10068,2023-07-04,2023-07-08,20230704,1628,144,4,8,32.83,0.0,262.64,140.72,21.01,14.43,Delivered
10069,2024-09-16,2024-09-25,20240916,1759,143,7,2,64.15,0.05,121.88,61.44,9.75,10.79,Shipped
10070,2022-01-28,2022-01-31,20220128,1533,134,2,2,5.53,0.05,10.51,7.56,0.84,13.18,Shipped
10071,2024-05-18,2024-05-26,20240518,1283,44,7,8,284.93,0.2,1823.55,997.36,145.88,8.66,Shipped
10072,2022-08-29,2022-09-05,20220829,1475,76,3,5,48.4,0.1,217.8,103.2,17.42,13.45,Shipped
10073,2024-12-07,2024-12-11,20241207,1950,158,4,6,26.06,0.0,156.36,67.62,12.51,7.61,Returned
10074,2022-10-05,2022-10-08,20221005,1465,135,8,8,37.09,0.05,281.88,179.68,22.55,3.51,Shipped
10075,2022-01-12,2022-01-17,20220112,409,49,8,2,133.16,0.0,266.32,115.28,21.31,2.33,Delivered
10076,2022-05-17,2022-05-23,20220517,1146,163,5,4,61.92,0.0,247.68,123.08,19.81,13.99,Delivered
10077,2024-05-22,2024-06-01,20240522,753,79,4,7,61.85,0.1,389.66,276.71,31.17,8.57,Shipped
10078,2022-11-09,2022-11-11,20221109,574,56,7,3,280.56,0.0,841.68,439.02,67.33,2.77,Delivered
10079,2023-07-22,2023-08-01,20230722,429,122,2,3,56.58,0.0,169.74,95.88,13.58,14.85,Returned
10080,2022-10-28,2022-10-31,20221028,974,43,8,1,124.7,0.0,124.7,55.14,9.98,2.92,Delivered
10081,2024-08-24,2024-08-30,20240824,1025,78,7,2,97.06,0.05,184.41,115.06,14.75,6.28,Delivered
10082,2023-12-29,2024-01-03,20231229,650,134,3,2,8.97,0.2,14.35,7.56,1.15,3.99,Returned
10083,2023-07-23,2023-07-26,20230723,1148,112,2,8,22.91,0.2,146.62,66.64,11.73,4.51,Delivered
10084,2024-06-10,2024-06-16,20240610,52,46,7,6,342.52,0.2,1644.1,1153.14,131.53,10.38,Delivered
10085,2023-01-27,2023-02-03,20230127,367,96,1,1,69.49,0.0,69.49,42.2,5.56,8.36,Delivered
10086,2023-11-04,2023-11-06,20231104,1876,95,1,5,13.7,0.0,68.5,27.1,5.48,9.49,Delivered
10087,2024-09-07,2024-09-14,20240907,1425,12,1,5,1264.0,0.0,6320.0,2550.55,505.6,43.79,Delivered
10088,2024-08-22,2024-09-01,20240822,931,162,2,8,23.33,0.15,158.64,102.72,12.69,13.25,Shipped
10089,2022-03-01,2022-03-11,20220301,1446,40,2,3,81.81,0.0,245.43,141.39,19.63,2.16,Shipped
10090,2022-05-08,2022-05-14,20220508,1757,25,1,5,161.36,0.0,806.8,408.65,64.54,10.17,Delivered
10091,2023-10-11,2023-10-14,20231011,1479,151,1,6,15.44,0.15,78.74,43.92,6.3,6.64,Shipped
10092,2024-10-24,2024-10-27,20241024,172,69,7,3,90.23,0.0,270.69,165.03,21.66,9.52,Delivered
10093,2022-01-07,2022-01-12,20220107,1149,71,2,6,89.41,0.05,509.64,424.2,40.77,8.95,Delivered
10094,2024-08-06,2024-08-08,20240806,1881,30,1,2,150.43,0.0,300.86,195.02,24.07,3.6,Delivered
10095,2022-01-22,2022-01-26,20220122,768,164,5,8,46.6,0.15,316.88,294.48,25.35,14.21,Delivered
10096,2023-01-27,2023-01-30,20230127,110,80,6,7,59.53,0.0,416.71,276.29,33.34,4.91,Delivered
10097,2023-01-21,2023-01-26,20230121,363,52,8,5,248.22,0.05,1179.04,554.5,94.32,4.7,Delivered
10098,2024-01-15,2024-01-21,20240115,1072,165,1,8,55.36,0.15,376.45,215.68,30.12,12.64,Returned
10099,2024-02-29,2024-03-03,20240229,1165,138,5,4,28.64,0.05,108.83,79.84,8.71,5.86,Delivered
10100,2024-10-28,2024-11-06,20241028,186,69,2,4,87.5,0.05,332.5,220.04,26.6,4.65,Delivered
10101,2023-01-17,2023-01-25,20230117,957,36,1,6,71.69,0.05,408.63,193.92,32.69,10.22,Delivered
10102,2022-08-03,2022-08-09,20220803,326,3,2,7,2133.2,0.0,14932.4,9154.11,1194.59,30.21,Delivered
10103,2024-01-04,2024-01-09,20240104,957,42,8,3,34.26,0.05,97.64,49.11,7.81,12.33,Delivered
10104,2024-06-09,2024-06-16,20240609,1709,122,8,4,59.07,0.0,236.28,127.84,18.9,9.41,Delivered
10105,2023-09-07,2023-09-08,20230907,1563,60,7,2,125.11,0.2,200.18,101.66,16.01,4.77,Delivered
10106,2022-12-02,2022-12-11,20221202,1889,43,4,5,177.36,0.15,753.78,275.7,60.3,14.2,Returned
10107,2022-10-13,2022-10-16,20221013,1615,86,3,1,101.39,0.0,101.39,50.01,8.11,12.1,Delivered
10108,2024-07-28,2024-08-04,20240728,944,43,5,1,144.85,0.0,144.85,55.14,11.59,13.36,Delivered
10109,2023-01-14,2023-01-18,20230114,895,53,6,2,58.95,0.0,117.9,76.58,9.43,10.59,Shipped
10110,2022-11-23,2022-11-29,20221123,965,26,8,7,263.25,0.05,1750.61,622.09,140.05,10.36,Delivered
10111,2022-07-16,2022-07-23,20220716,652,33,7,3,325.65,0.0,976.95,590.1,78.16,13.57,Delivered
10112,2024-12-29,2024-12-31,20241229,1001,89,4,1,96.04,0.1,86.44,43.43,6.92,3.49,Delivered
10113,2023-11-28,2023-12-07,20231128,1251,1,8,7,1113.34,0.15,6624.37,2626.47,529.95,12.66,Delivered
10114,2023-03-09,2023-03-14,20230309,191,112,5,6,20.47,0.0,122.82,49.98,9.83,6.96,Delivered
10115,2024-09-11,2024-09-12,20240911,1964,67,2,7,192.73,0.05,1281.65,893.13,102.53,10.55,Delivered
10116,2022-06-19,2022-06-25,20220619,1344,26,3,7,226.41,0.0,1584.87,622.09,126.79,3.25,Delivered
10117,2024-02-26,2024-03-05,20240226,996,3,5,7,1903.3,0.0,13323.1,9154.11,1065.85,15.72,Delivered
10118,2022-08-26,2022-09-05,20220826,1029,116,6,6,46.1,0.15,235.11,163.62,18.81,5.69,Shipped
10119,2023-01-02,2023-01-09,20230102,1556,137,6,7,30.08,0.0,210.56,118.02,16.84,3.11,Returned
10120,2023-06-13,2023-06-17,20230613,1665,132,2,8,48.91,0.05,371.72,194.16,29.74,4.94,Delivered
10121,2024-07-31,2024-08-06,20240731,1822,13,1,6,2509.64,0.0,15057.84,7226.28,1204.63,31.35,Delivered
10122,2023-01-02,2023-01-07,20230102,855,92,2,1,93.72,0.0,93.72,46.5,7.5,9.9,Delivered
10123,2022-03-16,2022-03-25,20220316,510,102,3,3,61.31,0.0,183.93,90.0,14.71,2.76,Delivered
10124,2024-06-01,2024-06-06,20240601,1991,89,8,8,87.71,0.0,701.68,347.44,56.13,13.86,Shipped
10125,2023-10-31,2023-11-06,20231031,301,10,5,2,2445.06,0.15,4156.6,2991.7,332.53,6.31,Delivered
10126,2022-02-15,2022-02-18,20220215,1478,66,4,2,211.06,0.05,401.01,200.68,32.08,14.51,Delivered
10127,2023-09-13,2023-09-23,20230913,1105,132,8,4,46.35,0.0,185.4,97.08,14.83,6.24,Delivered
10128,2024-06-13,2024-06-18,20240613,567,48,5,1,209.95,0.0,209.95,77.82,16.8,10.49,Shipped
10129,2023-03-01,2023-03-02,20230301,1346,107,6,3,27.69,0.05,78.92,53.28,6.31,9.39,Shipped
10130,2023-04-06,2023-04-07,20230406,453,84,8,2,28.24,0.15,48.01,25.68,3.84,10.97,Delivered
10131,2023-11-05,2023-11-14,20231105,975,100,8,1,57.46,0.0,57.46,20.96,4.6,5.85,Delivered
10132,2024-10-18,2024-10-22,20241018,1429,137,2,3,32.41,0.0,97.23,50.58,7.78,6.64,Delivered
10133,2023-12-09,2023-12-11,20231209,1532,54,8,6,95.31,0.2,457.49,307.26,36.6,5.41,Shipped
10134,2022-12-08,2022-12-18,20221208,1157,91,5,7,25.96,0.2,145.38,54.81,11.63,1.33,Delivered
10135,2024-10-02,2024-10-06,20241002,1887,97,7,3,55.44,0.2,133.06,109.62,10.64,2.73,Delivered
10136,2022-08-15,2022-08-25,20220815,366,75,7,3,38.5,0.15,98.18,53.37,7.85,14.7,Delivered
10137,2023-03-22,2023-03-29,20230322,572,154,6,6,38.47,0.15,196.2,125.46,15.7,2.48,Delivered
10138,2024-12-26,2025-01-02,20241226,1760,58,8,7,311.26,0.05,2069.88,805.35,165.59,5.01,Delivered
10139,2022-12-30,2023-01-06,20221230,7,74,2,6,98.97,0.15,504.75,204.78,40.38,3.41,Delivered
10140,2024-05-06,2024-05-13,20240506,387,106,2,1,41.23,0.0,41.23,18.33,3.3,9.54,Delivered
10141,2024-04-17,2024-04-18,20240417,1249,84,2,4,26.24,0.15,89.22,51.36,7.14,7.61,Returned
10142,2022-02-16,2022-02-26,20220216,1131,100,4,4,43.14,0.0,172.56,83.84,13.8,7.41,Delivered
10143,2023-02-14,2023-02-20,20230214,601,34,8,2,281.07,0.0,562.14,253.46,44.97,9.09,Delivered
10144,2024-06-27,2024-07-01,20240627,1993,46,6,8,323.87,0.0,2590.96,1537.52,207.28,12.25,Delivered
10145,2022-11-23,2022-11-27,20221123,1479,119,7,2,23.45,0.0,46.9,23.84,3.75,10.55,Delivered
10146,2024-08-20,2024-08-27,20240820,1604,19,1,7,3402.31,0.15,20243.74,13868.05,1619.5,25.57,Delivered
10147,2022-05-03,2022-05-08,20220503,1697,102,8,1,64.28,0.15,54.64,30.0,4.37,13.98,Delivered
10148,2022-09-12,2022-09-14,20220912,1735,38,2,5,36.57,0.1,164.56,70.3,13.16,11.55,Delivered
10149,2024-01-21,2024-01-28,20240121,291,87,6,4,71.12,0.0,284.48,190.56,22.76,4.7,Delivered
10150,2022-06-01,2022-06-09,20220601,1542,126,8,4,48.06,0.0,192.24,105.0,15.38,5.13,Delivered
10151,2024-07-11,2024-07-16,20240711,564,146,1,1,44.36,0.0,44.36,20.37,3.55,8.3,Delivered
10152,2024-01-30,2024-02-09,20240130,1462,93,5,5,69.91,0.15,297.12,190.9,23.77,3.22,Delivered
10153,2024-06-19,2024-06-24,20240619,1524,40,5,3,80.02,0.0,240.06,141.39,19.2,13.03,Delivered
10154,2022-02-27,2022-03-03,20220227,621,150,7,3,48.33,0.0,144.99,82.5,11.6,6.1,Delivered
10155,2022-12-15,2022-12-21,20221215,320,165,8,6,76.2,0.05,434.34,161.76,34.75,13.12,Delivered
10156,2024-12-11,2024-12-19,20241211,992,45,5,7,117.69,0.0,823.83,395.22,65.91,5.79,Delivered
10157,2022-11-04,2022-11-09,20221104,1594,156,1,2,12.53,0.0,25.06,12.88,2.0,7.98,Delivered
10158,2024-12-09,2024-12-13,20241209,745,52,2,1,366.96,0.0,366.96,110.9,29.36,14.33,Delivered
10159,2024-12-31,2025-01-09,20241231,1988,21,5,1,25.65,0.1,23.08,13.53,1.85,4.47,Delivered
10160,2023-01-10,2023-01-14,20230110,1413,59,5,8,79.16,0.1,569.95,451.6,45.6,4.72,Shipped
10161,2023-01-25,2023-01-27,20230125,1071,34,8,5,245.36,0.0,1226.8,633.65,98.14,4.42,Delivered
10162,2022-04-15,2022-04-21,20220415,150,163,4,4,63.3,0.05,240.54,123.08,19.24,2.17,Shipped
10163,2023-03-17,2023-03-27,20230317,615,125,8,1,10.68,0.2,8.54,7.27,0.68,13.67,Delivered
10164,2023-02-03,2023-02-13,20230203,1259,163,5,8,61.73,0.0,493.84,246.16,39.51,11.56,Delivered
10165,2022-12-28,2023-01-03,20221228,990,130,4,5,14.4,0.0,72.0,23.75,5.76,4.7,Delivered
10166,2024-10-27,2024-11-01,20241027,902,161,6,2,20.26,0.0,40.52,16.56,3.24,7.83,Delivered
10167,2024-11-09,2024-11-17,20241109,335,127,2,3,77.27,0.05,220.22,83.88,17.62,10.42,Returned
10168,2024-06-26,2024-07-02,20240626,1407,164,4,3,58.07,0.0,174.21,110.43,13.94,11.68,Delivered
10169,2023-09-18,2023-09-24,20230918,967,136,3,2,67.92,0.1,122.26,77.6,9.78,3.94,Delivered
10170,2023-01-29,2023-02-05,20230129,1746,44,8,3,277.21,0.0,831.63,374.01,66.53,5.56,Delivered
10171,2024-05-03,2024-05-08,20240503,1911,59,6,5,92.38,0.2,369.52,282.25,29.56,12.68,Shipped
10172,2023-11-15,2023-11-21,20231115,922,81,1,5,47.54,0.05,225.81,99.2,18.06,11.68,Delivered
10173,2024-04-07,2024-04-08,20240407,725,105,4,3,119.18,0.2,286.03,184.86,22.88,4.84,Delivered
10174,2023-06-09,2023-06-14,20230609,49,96,4,6,88.29,0.05,503.25,253.2,40.26,5.56,Delivered
10175,2024-10-27,2024-11-04,20241027,219,71,8,2,101.5,0.0,203.0,141.4,16.24,11.12,Returned
10176,2022-04-05,2022-04-12,20220405,512,125,2,5,11.37,0.1,51.16,36.35,4.09,6.25,Shipped
10177,2023-12-03,2023-12-08,20231203,757,138,2,8,40.93,0.0,327.44,159.68,26.2,7.61,Delivered
10178,2024-04-27,2024-04-30,20240427,1208,39,4,5,208.28,0.1,937.26,529.25,74.98,2.23,Delivered
10179,2023-06-18,2023-06-27,20230618,1674,136,2,5,74.77,0.0,373.85,194.0,29.91,11.81,Delivered
10180,2023-10-05,2023-10-11,20231005,1531,115,6,4,32.07,0.05,121.87,70.56,9.75,4.19,Delivered
10181,2023-06-15,2023-06-20,20230615,1532,155,7,1,21.91,0.15,18.62,8.07,1.49,6.75,Delivered
10182,2022-04-09,2022-04-18,20220409,1870,16,6,6,2504.96,0.05,14278.27,8404.08,1142.26,44.82,Delivered
10183,2024-10-04,2024-10-09,20241004,684,148,2,2,62.05,0.1,111.69,78.28,8.94,2.29,Delivered
10184,2024-11-17,2024-11-19,20241117,1890,147,7,8,46.34,0.0,370.72,194.08,29.66,11.53,Delivered
10185,2024-08-11,2024-08-19,20240811,1333,39,8,6,191.55,0.15,976.91,635.1,78.15,9.05,Delivered
10186,2024-06-04,2024-06-05,20240604,1178,103,1,5,91.0,0.2,364.0,183.7,29.12,6.46,Delivered
10187,2024-05-24,2024-05-27,20240524,1753,67,8,4,206.08,0.2,659.46,510.36,52.76,5.57,Delivered
10188,2023-02-15,2023-02-25,20230215,1830,91,3,3,17.3,0.0,51.9,23.49,4.15,3.89,Shipped
10189,2024-12-28,2025-01-07,20241228,1597,11,6,3,1502.23,0.0,4506.69,1727.13,360.54,16.75,Returned
10190,2023-03-04,2023-03-08,20230304,335,78,4,7,109.38,0.0,765.66,402.71,61.25,14.11,Delivered
10191,2022-02-25,2022-02-28,20220225,253,113,4,7,20.51,0.2,114.86,110.88,9.19,11.42,Delivered
10192,2024-07-04,2024-07-12,20240704,407,103,2,4,103.27,0.1,371.77,146.96,29.74,12.4,Returned
10193,2024-11-03,2024-11-13,20241103,250,133,6,3,29.67,0.0,89.01,27.66,7.12,14.17,Delivered
10194,2023-10-11,2023-10-18,20231011,431,49,2,2,154.21,0.0,308.42,115.28,24.67,7.69,Returned
10195,2022-02-03,2022-02-04,20220203,1646,98,6,7,83.03,0.2,464.97,266.84,37.2,2.4,Returned
10196,2022-05-14,2022-05-21,20220514,470,77,8,2,43.97,0.2,70.35,45.46,5.63,6.46,Shipped
10197,2023-07-17,2023-07-23,20230717,289,12,3,4,1367.74,0.0,5470.96,2040.44,437.68,8.37,Shipped
10198,2024-08-20,2024-08-21,20240820,1222,16,7,4,2879.7,0.15,9790.98,5602.72,783.28,15.31,Delivered
10199,2024-05-08,2024-05-11,20240508,1918,45,6,3,102.13,0.2,245.11,169.38,19.61,10.36,Delivered
10200,2022-08-13,2022-08-16,20220813,1019,8,5,4,827.58,0.15,2813.77,1545.84,225.1,18.67,Delivered
10201,2022-02-28,2022-03-01,20220228,59,85,7,8,36.27,0.2,232.13,231.44,18.57,3.02,Shipped
10202,2024-02-12,2024-02-22,20240212,348,135,2,3,33.91,0.0,101.73,67.38,8.14,13.56,Delivered
10203,2022-05-16,2022-05-18,20220516,952,122,1,7,59.17,0.1,372.77,223.72,29.82,7.17,Delivered
10204,2024-08-19,2024-08-24,20240819,662,33,8,6,323.23,0.15,1648.47,1180.2,131.88,11.03,Delivered
10205,2023-02-06,2023-02-09,20230206,1055,57,2,3,65.37,0.0,196.11,143.37,15.69,4.16,Delivered
10206,2024-04-07,2024-04-12,20240407,216,158,5,4,19.09,0.0,76.36,45.08,6.11,11.22,Delivered
10207,2024-08-04,2024-08-14,20240804,1059,134,6,5,6.77,0.0,33.85,18.9,2.71,5.59,Delivered
10208,2022-03-12,2022-03-19,20220312,99,162,1,4,26.55,0.0,106.2,51.36,8.5,3.0,Delivered
10209,2023-05-03,2023-05-06,20230503,661,102,4,1,66.51,0.05,63.18,30.0,5.05,13.01,Delivered
10210,2024-04-10,2024-04-18,20240410,929,55,6,5,138.38,0.0,691.9,321.9,55.35,11.43,Delivered
10211,2023-01-17,2023-01-22,20230117,1653,88,6,8,27.75,0.05,210.9,90.96,16.87,10.29,Delivered
10212,2023-06-23,2023-06-25,20230623,874,94,8,1,52.73,0.0,52.73,23.06,4.22,2.32,Delivered
10213,2022-09-04,2022-09-13,20220904,259,76,2,6,46.71,0.05,266.25,123.84,21.3,8.75,Returned
10214,2024-10-30,2024-11-02,20241030,1680,102,1,4,61.92,0.15,210.53,120.0,16.84,4.11,Delivered
10215,2023-12-26,2024-01-04,20231226,1598,154,6,3,48.4,0.1,130.68,62.73,10.45,8.35,Delivered
10216,2024-12-23,2024-12-26,20241223,326,96,4,2,108.67,0.15,184.74,84.4,14.78,9.88,Delivered
10217,2022-11-08,2022-11-17,20221108,869,157,7,4,42.87,0.05,162.91,65.16,13.03,5.15,Delivered
10218,2024-08-16,2024-08-22,20240816,1478,35,5,5,93.98,0.0,469.9,309.0,37.59,10.92,Delivered
10219,2022-05-17,2022-05-18,20220517,288,106,4,3,40.33,0.0,120.99,54.99,9.68,11.7,Delivered
10220,2022-11-23,2022-11-30,20221123,1212,101,5,4,77.09,0.0,308.36,108.88,24.67,1.99,Shipped
10221,2024-04-02,2024-04-04,20240402,1935,150,6,3,50.45,0.0,151.35,82.5,12.11,10.41,Shipped
10222,2022-08-29,2022-09-07,20220829,1074,80,8,2,66.83,0.1,120.29,78.94,9.62,7.6,Delivered
10223,2022-09-13,2022-09-22,20220913,931,157,6,3,31.82,0.2,76.37,48.87,6.11,13.75,Delivered
10224,2022-03-25,2022-04-01,20220325,232,66,8,8,219.69,0.0,1757.52,802.72,140.6,13.27,Delivered
10225,2023-04-06,2023-04-15,20230406,182,27,7,6,81.26,0.2,390.05,342.0,31.2,10.31,Delivered
10226,2022-08-04,2022-08-09,20220804,1853,71,5,5,108.32,0.0,541.6,353.5,43.33,6.88,Cancelled
10227,2022-06-20,2022-06-21,20220620,1461,26,7,8,206.79,0.05,1571.6,710.96,125.73,4.1,Delivered
10228,2022-08-01,2022-08-09,20220801,1243,144,7,7,30.14,0.2,168.78,123.13,13.5,13.95,Shipped
10229,2022-08-09,2022-08-19,20220809,1954,165,4,2,59.11,0.0,118.22,53.92,9.46,14.53,Delivered
10230,2024-05-13,2024-05-20,20240513,712,11,1,8,1213.68,0.1,8738.5,4605.68,699.08,39.26,Returned
10231,2024-06-03,2024-06-04,20240603,1162,56,7,3,227.84,0.0,683.52,439.02,54.68,2.38,Delivered
10232,2024-07-24,2024-07-29,20240724,1677,92,1,6,112.78,0.0,676.68,279.0,54.13,4.87,Delivered
10233,2023-06-23,2023-06-26,20230623,1144,54,3,6,86.54,0.2,415.39,307.26,33.23,5.88,Delivered
10234,2022-07-02,2022-07-08,20220702,1263,91,2,4,21.61,0.0,86.44,31.32,6.92,2.42,Delivered
